1880,287.97
1881,288.05
1882,288.04
1883,287.96
1884,287.86
1885,287.84
1886,287.83
1887,287.81
1888,287.98
1889,288.05
1890,287.78
1891,287.92
1892,287.89
1893,287.84
1894,287.84
1895,287.93
1896,288.04
1897,288.03
1898,287.87
1899,287.97
1900,288.06
1901,288.0
1902,287.85
1903,287.76
1904,287.66
1905,287.86
1906,287.93
1907,287.76
1908,287.72
1909,287.68
1910,287.72
1911,287.72
1912,287.8
1913,287.8
1914,288.0
1915,288.03
1916,287.82
1917,287.71
1918,287.87
1919,287.89
1920,287.9
1921,287.98
1922,287.88
1923,287.91
1924,287.9
1925,287.95
1926,288.06
1927,287.95
1928,287.96
1929,287.81
1930,288.01
1931,288.05
1932,287.99
1933,287.86
1934,288.01
1935,287.94
1936,287.99
1937,288.11
1938,288.12
1939,288.12
1940,288.26
1941,288.33
1942,288.2
1943,288.22
1944,288.36
1945,288.24
1946,288.08
1947,288.11
1948,288.04
1949,288.04
1950,287.97
1951,288.08
1952,288.16
1953,288.22
1954,288.0
1955,288.0
1956,287.94
1957,288.19
1958,288.22
1959,288.18
1960,288.13
1961,288.21
1962,288.19
1963,288.22
1964,287.95
1965,288.05
1966,288.1
1967,288.13
1968,288.08
1969,288.22
1970,288.18
1971,288.06
1972,288.16
1973,288.31
1974,288.07
1975,288.14
1976,288.04
1977,288.32
1978,288.21
1979,288.31
1980,288.42
1981,288.48
1982,288.28
1983,288.46
1984,288.31
1985,288.27
1986,288.33
1987,288.48
1988,288.56
1989,288.44
1990,288.59
1991,288.56
1992,288.37
1993,288.39
1994,288.46
1995,288.6
1996,288.49
1997,288.62
1998,288.77
1999,288.55
2000,288.55
2001,288.69
2002,288.77
2003,288.76
2004,288.68
2005,288.82
2006,288.76
2007,288.79
2008,288.66
2009,288.78
2010,288.85
2011,288.73
2012,288.77
2013,288.8
2014,288.88
2015,289.02
2016,289.14
2017,289.05
