1880,14.82
1881,14.9
1882,14.89
1883,14.81
1884,14.71
1885,14.69
1886,14.68
1887,14.66
1888,14.83
1889,14.9
1890,14.63
1891,14.77
1892,14.74
1893,14.69
1894,14.69
1895,14.78
1896,14.89
1897,14.88
1898,14.72
1899,14.82
1900,14.91
1901,14.85
1902,14.7
1903,14.61
1904,14.51
1905,14.71
1906,14.78
1907,14.61
1908,14.57
1909,14.53
1910,14.57
1911,14.57
1912,14.65
1913,14.65
1914,14.85
1915,14.88
1916,14.67
1917,14.56
1918,14.72
1919,14.74
1920,14.75
1921,14.83
1922,14.73
1923,14.76
1924,14.75
1925,14.8
1926,14.91
1927,14.8
1928,14.81
1929,14.66
1930,14.86
1931,14.9
1932,14.84
1933,14.71
1934,14.86
1935,14.79
1936,14.84
1937,14.96
1938,14.97
1939,14.97
1940,15.11
1941,15.18
1942,15.05
1943,15.07
1944,15.21
1945,15.09
1946,14.93
1947,14.96
1948,14.89
1949,14.89
1950,14.82
1951,14.93
1952,15.01
1953,15.07
1954,14.85
1955,14.85
1956,14.79
1957,15.04
1958,15.07
1959,15.03
1960,14.98
1961,15.06
1962,15.04
1963,15.07
1964,14.8
1965,14.9
1966,14.95
1967,14.98
1968,14.93
1969,15.07
1970,15.03
1971,14.91
1972,15.01
1973,15.16
1974,14.92
1975,14.99
1976,14.89
1977,15.17
1978,15.06
1979,15.16
1980,15.27
1981,15.33
1982,15.13
1983,15.31
1984,15.16
1985,15.12
1986,15.18
1987,15.33
1988,15.41
1989,15.29
1990,15.44
1991,15.41
1992,15.22
1993,15.24
1994,15.31
1995,15.45
1996,15.34
1997,15.47
1998,15.62
1999,15.4
2000,15.4
2001,15.54
2002,15.62
2003,15.61
2004,15.53
2005,15.67
2006,15.61
2007,15.64
2008,15.51
2009,15.63
2010,15.7
2011,15.58
2012,15.62
2013,15.65
2014,15.73
2015,15.87
2016,15.99
2017,15.9
2018,
